section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume
education,"Ph.D., Ecology (with certificate in Conservation Management)",UC Davis,"Davis, CA",2014,2018,Population genetics of a sentinel stream-breeding frog (*Rana boylii*),,,TRUE
education,"M.S., Biology",University of San Francisco,"San Francisco, CA",2008,2010,Thesis: Landscape Genetics of Foothill Yellow-Legged Frogs  (*Rana boylii*) in regulated and unregulated rivers: Assessing connectivity and genetic fragmentation,,,TRUE
education,"B.S., Wildlife, Fish & Conservation Ecology",UC Davis,"Davis, CA",1998,2002,Emphasis in Behavioral Ecology,,,TRUE
research_positions,Jr. Research Specialist,Center for Watershed Sciences,UC Davis,2011,2014,"Research in stream ecology and montane aquatic ecosystems, with particular focus on ecosystem function and hydroclimatic impacts on regulated rivers in the Sierra Nevada.",,,FALSE
research_positions,Graduate Student Researcher,Center for Watershed Sciences,UC Davis,2014,2018,"Research in amphibian/aquatic ecology, with particular focus on assessing ecological health with molecular techniques to inform conservation in river ecosystems.",,,TRUE
research_positions,Post-doctoral Researcher,Center for Watershed Sciences,UC Davis,2018,2020,"Analysis of connectivity and genetic health of rare endemic frogs in CA, NV, and AZ to inform conservation management.",Analysis of floodplain foodwebs for salmon to better understand connectivity and seasonality for management.,Research and analysis on how to link ecological bioassessment data with flow management for functional environmental flows.,TRUE
industry_positions,Biological Science Technician,"USDA Forest Service, Pacific Southwest Research Station","Davis, CA",,2010,"Developed and designed website on ecology, river regulation and conservation of the foothill yellow-legged frog (*Rana boylii*), including GIS synthesis and development of a distribution map showing over 6,000 records from multiple sources (http://gis.fs.fed.us/psw/topics/wildlife/herp/rana_boylii/). ","Conducted 1-D RHABSIM modeling and analysis. Coordinate field research, data collection, and writing.",,TRUE
research_positions,Research Assistant II,UC Berkeley,"Berkeley, CA",2009,2010,"As part of a California Energy Commission study of regulated flow effects on foothill yellow-legged frog (*Rana boylii*) breeding habitat, led field research crews for extensive field data collection. ",Collaborated with Sarah Yarnell and Amy Lind on field methodology and integrating graduate research with the grant research.,,TRUE
research_positions,Research Assistant II,UC Davis,"Davis, CA",,2009,"Working with Sarah Kupferberg and Alessandro Catenazzi, assisted in research, as part of a California Energy Commission study, of regulated flow effects on water temperatures and foothill yellow-legged frog (*Rana boylii*)","Including predation experiments and tadpole growth experiments, Helped deploy thermographs in various Sierran rivers throughout California. Conducting research on tributary density in relation to amphibian occupancy in regulated rivers in California.",,TRUE
industry_positions,Fish & Wildlife Biologist,Stillwater Sciences,Davis CA,2002,2011,"Field and Project Manager, conducted research in aquatic, terrestrial, and riparian ecosystems. Assisted in the development of restoration, conservation, and management strategies in various watersheds throughout California and Oregon for amphibian and fisheries related projects.","Extensive experience completing watershed analyses. Successfully worked independently and collaboratively on various projects including leading field crews, managing budgets, conducting meetings, analyzing data, and writing comprehensive reports.","Watershed Experience: Alameda Creek (San Francisco Public Utilities Commission), Upper American River (Sacramento Municipal Utility District), South Fork Feather River (South Feather Water & Power),
Yuba River (North, Middle, and South) (CH2MHill), Napa River and Floodplain (US Army Corp of Engineers), Santa Clara River (California State Coastal Conservancy), McKenzie River (Eugene Water and Electric Board), Upper Merced River (Merced Alliance), Butte Creek and West Branch Feather River (PG&E), McCloud and Pit Rivers (PG&E)",FALSE
industry_positions,Biological Science Technician,National Park Service ,"Sequoia & Kings Canyon, CA",,2001,Part of a 2-person backcountry crew working on a federally threatened Sierra/Mountain yellow-legged frog (*Rana sierrae*) conservation and restoration project during the initial year of the project.  ,"This position involved extensive backpacking and hiking experience while living in remote and rugged terrain at 10,000-12,000 feet for multiple weeks at a time. Required the ability to work independently, efficiently, and safely. ","Conducted amphibian surveys of mountain lakes and identified amphibian species in larval and adult stages, habitat assessment, data collection, and non-native fish removal.",TRUE
teaching_positions,"Foothill Yellow-Legged Frog Ecology, Management, and Regulation",Humboldt State,"Arcata, CA",,2018,One of three main instructors for workshop designed to cover the natural history and management of the foothill yellow-legged frog.,"Three days of lecture followed by a field day covered ecological requirements of the species, mitigation, restoration, and permitting requirements if listing takes place",,FALSE
teaching_positions,R for Data Analysis and Visualization in Science,UC Davis,"Davis, CA",2017,2019,Lead instructor and creator of graduate course teaching R and version control for 25+ students. Course designed to train students in toolsets applicable to the entire process of reproducible data-driven research and encourage the use of open-source tools. ,Built website and made course materials openly available on github. (https://gge-ucd.github.io/R-DAVIS/).,now a required graduate course in Ecology,TRUE
